"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"5528",18899,"H5",560,"Fell",1863,23.36667,75.18333,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"3321.50",10028,"Mesosiderite",1200,"Found",1981,-57.78667,-90.79333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"0",1
"6241.1",23524,"L6",23400,"Found",1983,38.77083,-101.79833,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6453.3",23769,"H4/5",4500,"Found",1985,57,62.7,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"9661",56497,"L4",91,"Found",1979,19.81083,56.51083,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"973.41",5372,"H4",20,"Found",1986,12.5,-137.7,"H","Chondrite","Stony","Ordinary","H","0",1
"876.55",5261,"Iron, IVB",136000,"Found",1793,-33.5,26,"Iron IVB","Achondrite","Iron","Magmatic","Siderite","0",1
"6911.42",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"6874.3",24254,"H5",221,"Found",1937,42.03333,-101.5,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4044.3",11895,"Stone-uncl",1415,"Fell",1923,9.06667,38.41667,"Stony",NA,"Stony",NA,NA,"2",0.064345060252235
"3981",11831,"Iron, IAB-ung",4000,"Found",1975,46.43333,-109.83333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","13",0.0166285644122995
"6911.43",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"5018.4",16917,"H4",513.3,"Found",1942,30.95,-98.28333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"6764.47",24158,"H5",10800,"Fell",1950,56.13333,77.26667,"H","Chondrite","Stony","Ordinary","H","0",1
"4767.59",15447,"L6",220,"Fell",1801,-20,57,"L","Chondrite","Stony","Ordinary","L","0",1
"4216.40",12084,"Iron, IIAB",40000,"Found",1976,55.608833,11.229167,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"4507",12413,"Iron",92000,"Found",1945,-48.58333,-67.41667,"Iron","Achondrite","Iron",NA,NA,"13",0.0166285644122995
"4812.46",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"5695.1",22664,"H5",2.1,"Found",1979,34.08333,-103.5,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"6421",23736,"L6",3500,"Fell",1924,36.48333,-90.66667,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"6736.58",24129,"Stone-uncl",1500,"Fell",1926,34.48333,133.28333,"Stony",NA,"Stony",NA,NA,"0",1
"46.1",47,"LL4-6",385,"Found",1989,27.55,4.13333,"LL","Chondrite","Stony","Ordinary","LL","14",0.0286088486882495
"3622.46",11467,"OC",1320,"Fell",1930,35,127.5,"Chondrite","Chondrite","Stony",NA,NA,"0",1
"1074.45",5477,"L5",4255,"Fell",1902,54.61667,-6.21667,"L","Chondrite","Stony","Ordinary","L","0",1
"5008.59",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",1
"4955.51",16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"6768.1",24162,"Mesosiderite-B2",54000,"Fell",1880,35.33333,51.63333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"1",0.0294975764627465
"5156.6",17068,"L6",1091,"Found",1979,27.16667,-9.5,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"7946.41",45978,"Iron, ungrouped",8200,"Found",1981,-8.65,115.21667,"Iron","Achondrite","Iron",NA,NA,"0",1
"6758.41",24150,"L6",4000,"Found",1962,61.05,26.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"995.49",5396,"Pallasite, PES",320,"Found",1921,55.18333,-162.55,"Eagle Station Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"9671.2",56507,"L4",130,"Found",1979,19.82,56.445,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"4821.42",16633,"Iron",34,"Found",1960,44.75,-79.88333,"Iron","Achondrite","Iron",NA,NA,"0",1
"5085.54",16990,"L4",283.5,"Found",1962,-37.31667,139.85,"L","Chondrite","Stony","Ordinary","L","0",1
"3580.49",11208,"L6",8000,"Fell",1881,46.35,30.58333,"L","Chondrite","Stony","Ordinary","L","0",1
"4006",11857,"Iron, IAB complex",367,"Found",1979,40.33333,-90.05,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"3580.50",11208,"L6",8000,"Fell",1881,46.35,30.58333,"L","Chondrite","Stony","Ordinary","L","0",1
"4689.31",14749,"Iron, IIIAB",20500,"Found",1885,17.9,-77.63333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"2195.56",6634,"L6",28,"Fell",1829,40.25,-74,"L","Chondrite","Stony","Ordinary","L","0",1
"4581.46",12757,"Iron",3.3,"Found",1904,-40.73333,146.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"981.3",5380,"L6",11360,"Found",1962,39.1,-103.25833,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6759.3",24152,"L6",129.9,"Found",1929,35.46667,-115.66667,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"1100",5505,"L3.7",300,"Found",1957,34.08333,-115.78333,"L","Chondrite","Stony","Ordinary","L","13",0.0166285644122995
"4388.46",12286,"H4",135000,"Fell",1850,38.98333,141.61667,"H","Chondrite","Stony","Ordinary","H","0",1
"6935.1",30347,"L6",5800,"Found",1914,-29.75,141.03333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6387.1",23677,"Iron, IAB complex",275000,"Found",1957,22.56667,48.3,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","14",0.0286088486882495
"5743",22712,"L5",7.7,"Found",1973,34.21667,-103.28333,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"5839.38",23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL","0",1
"4352.45",12245,"H5",1630,"Fell",1908,-7,115.5,"H","Chondrite","Stony","Ordinary","H","0",1
"3202.5",7717,"Iron, IIF",12600,"Found",1910,53.33333,70.06667,"Iron IIF","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"4751.65",15426,"Pallasite, PMG",45000,"Fell",1902,61.5,30.5,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"9578.3",56382,"H5",11800,"Found",1980,34.78333,-103.66667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4016.64",11868,"Stone-uncl",367,"Found",1956,24.7,108,"Stony",NA,"Stony",NA,NA,"0",1
"5516.4",18883,"L6",2125,"Fell",1932,48.3025,13.94083,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"6911.44",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"4767.60",15447,"L6",220,"Fell",1801,-20,57,"L","Chondrite","Stony","Ordinary","L","0",1
"759.2",5132,"L6/7",7580,"Found",1975,40.81,-101.80167,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"3449.2",10173,"Iron, IIIAB",18800,"Found",1890,38.81667,-104.61667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"6784",24171,"Iron, IAB-sHL",2950,"Found",1860,-31.7,23.75,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","13",0.0166285644122995
"4388.47",12286,"H4",135000,"Fell",1850,38.98333,141.61667,"H","Chondrite","Stony","Ordinary","H","0",1
"4949.59",16844,"L6",4610,"Found",1880,-34.1,18.46667,"L","Chondrite","Stony","Ordinary","L","0",1
"3438.2",10162,"H5",52,"Found",1974,-29.58333,128.91667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"3461.50",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"876.56",5261,"Iron, IVB",136000,"Found",1793,-33.5,26,"Iron IVB","Achondrite","Iron","Magmatic","Siderite","0",1
"6424.50",23739,"H4/5",48000,"Found",1987,46.4,30.8,"H","Chondrite","Stony","Ordinary","H","0",1
"6852.3",24230,"Iron, IIE-an",94200,"Found",1924,-32.26667,139.86667,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"4571",12746,"LL5",8600,"Found",1970,34.5,-102.75,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"2190.3",6629,"H5",77,"Found",1989,-30.53333,128.56667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4949.60",16844,"L6",4610,"Found",1880,-34.1,18.46667,"L","Chondrite","Stony","Ordinary","L","0",1
"4898.57",16754,"H4/5",7100,"Found",1925,-44.81667,171.13333,"H","Chondrite","Stony","Ordinary","H","0",1
"4751.66",15426,"Pallasite, PMG",45000,"Fell",1902,61.5,30.5,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"6712.48",24104,"H5",3600,"Fell",1866,13.48333,74.78333,"H","Chondrite","Stony","Ordinary","H","0",1
"568.4",4914,"H6",256.3,"Found",1967,-31.61667,118.03333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"3574.2",11201,"L5",82000,"Found",1912,39.93333,-99.21667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"4195.2",12060,"Pallasite, PES",350,"Found",1946,-26.26667,18.18333,"Eagle Station Group","Achondrite","Stony-Iron","Pallasite",NA,"14",0.0286088486882495
"3974.1",11824,"Eucrite-mmict",1000,"Fell",1878,26.8,82.53333,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.0294975764627465
"4388.48",12286,"H4",135000,"Fell",1850,38.98333,141.61667,"H","Chondrite","Stony","Ordinary","H","0",1
"4451.52",12351,"EH3",334,"Found",1905,-13.01667,34.2,"EH","Chondrite","Stony","Enstatite","EH-EL","0",1
"5467",18829,"L6",17900,"Found",1954,34,-115.78333,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"602.2",4950,"Iron, IIE-an",12000,"Found",1855,-28.08333,-69.33333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative","13",0.0166285644122995
"5430.44",18789,"Iron, IAB complex",72.54,"Found",1984,48.85,-64.43333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"3598.5",11443,"LL5",968,"Fell",1949,9.91667,13.98333,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"3241.1",7760,"EL6",10000,"Fell",1947,40.78167,-96.47167,"EL","Chondrite","Stony","Enstatite","EH-EL","1",0.0294975764627465
"4955.52",16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"655.2",5022,"Iron, IIAB",89000,"Found",1934,43.5,-101.25,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"3996.2",11847,"L",2100,"Found",1967,35.94167,-102.16,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"4751.67",15426,"Pallasite, PMG",45000,"Fell",1902,61.5,30.5,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"983.48",5382,"H3.5",277,"Found",1986,11.7,-137.8,"H","Chondrite","Stony","Ordinary","H","0",1
"5658.36",22613,"H5",103.3,"Found",1960,50.94,-96.99167,"H","Chondrite","Stony","Ordinary","H","0",1
"6609.2",23986,"CV3",18.6,"Found",1970,-29.43333,142.01667,"CV","Chondrite","Stony","Carbonaceous","CV-CK","14",0.0286088486882495
"5294.55",17977,"LL6",179,"Found",1962,-39.06667,146.35,"LL","Chondrite","Stony","Ordinary","LL","0",1
"6764.48",24158,"H5",10800,"Fell",1950,56.13333,77.26667,"H","Chondrite","Stony","Ordinary","H","0",1
"50.4",51,"L/LL6",134,"Found",1989,27.43333,3.71667,"LL","Chondrite","Stony","Ordinary","LL","14",0.0286088486882495
"4689.32",14749,"Iron, IIIAB",20500,"Found",1885,17.9,-77.63333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","0",1
"6736.59",24129,"Stone-uncl",1500,"Fell",1926,34.48333,133.28333,"Stony",NA,"Stony",NA,NA,"0",1
"3213.2",7730,"H5",6760,"Found",1953,39.61667,-100.46306,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"3488.1",10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"4860.53",16713,"CV3",4500,"Fell",1908,-39.63333,174.4,"CV","Chondrite","Stony","Carbonaceous","CV-CK","0",1
"5410.41",18118,"Iron",12,"Fell",1922,38.13333,14.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"4031.44",11883,"H5",750,"Fell",1897,33.6,130.43333,"H","Chondrite","Stony","Ordinary","H","0",1
"977.4",5376,"OC",5136,"Found",1978,34.34833,-101.65833,"Chondrite","Chondrite","Stony",NA,NA,"2",0.064345060252235
"68",70,"H4-5",105,"Found",1989,27.6,4.25,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"593.1",4940,"Iron, ungrouped",9026,"Found",1918,-21.21667,-43.93333,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"5312.47",18001,"L4",1000,"Found",1916,26.68333,-80.8,"L","Chondrite","Stony","Ordinary","L","0",1
"4792.3",15474,"LL6",545.6,"Found",1983,49.78333,35.6,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"5008.60",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",1
"6751.44",24144,"H6",2799,"Fell",1944,11.98333,79.75,"H","Chondrite","Stony","Ordinary","H","0",1
"3461.51",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"2182.41",6621,"H6",340,"Fell",1887,43,-80,"H","Chondrite","Stony","Ordinary","H","0",1
"5008.61",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",1
"3461.52",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"3460.48",10834,"Iron",367,"Found",1979,26,119,"Iron","Achondrite","Iron",NA,NA,"0",1
"3580.51",11208,"L6",8000,"Fell",1881,46.35,30.58333,"L","Chondrite","Stony","Ordinary","L","0",1
"930.41",5323,"H5",27900,"Found",1964,31.33333,121.66667,"H","Chondrite","Stony","Ordinary","H","0",1
"4949.61",16844,"L6",4610,"Found",1880,-34.1,18.46667,"L","Chondrite","Stony","Ordinary","L","0",1
